Product_ID	Sale_Date	Sales_Rep	Region	Sales_Amount	Quantity_Sold	Product_Category	Unit_Cost	Unit_Price	Customer_Type	Discount	Payment_Method	Sales_Channel	Region_and_Sales_Rep
1052	2023-02-03	Bob	North	5053.97021484375	18	Furniture	152.75	267.220001220703	Returning	0.0900000035762787	Cash	Online	North-Bob
1093	2023-04-21	Bob	West	4384.02001953125	17	Furniture	3816.38989257813	4209.43994140625	Returning	0.109999999403954	Cash	Retail	West-Bob
1015	2023-09-21	David	South	4631.22998046875	30	Food	261.559997558594	371.399993896484	Returning	0.200000002980232	Bank Transfer	Retail	South-David
1072	2023-08-24	Bob	South	2167.93994140625	39	Clothing	4330.02978515625	4467.75	New	0.0199999995529652	Credit Card	Retail	South-Bob
1061	2023-03-24	Charlie	East	3750.19995117188	13	Electronics	637.369995117188	692.710021972656	New	0.0799999982118607	Credit Card	Online	East-Charlie
1021	2023-02-11	Charlie	West	3761.14990234375	32	Food	900.789978027344	1106.51000976563	New	0.209999993443489	Cash	Online	West-Charlie
1083	2023-04-11	Bob	West	618.309997558594	29	Furniture	2408.81005859375	2624.09008789063	Returning	0.140000000596046	Cash	Online	West-Bob
1087	2023-01-06	Eve	South	7698.919921875	46	Furniture	3702.51000976563	3964.64990234375	New	0.119999997317791	Bank Transfer	Online	South-Eve
1075	2023-06-29	David	South	4223.39013671875	30	Furniture	738.059997558594	1095.44995117188	New	0.0500000007450581	Bank Transfer	Online	South-David
1075	2023-10-09	Charlie	West	8239.580078125	18	Clothing	2228.35009765625	2682.34008789063	New	0.129999995231628	Bank Transfer	Online	West-Charlie
1088	2023-11-16	Eve	North	8518.4501953125	13	Furniture	2440.11010742188	2517.60009765625	New	0.230000004172325	Bank Transfer	Retail	North-Eve
1100	2023-08-14	Bob	West	2198.73999023438	43	Food	1100.81005859375	1137.43994140625	Returning	0.0799999982118607	Bank Transfer	Online	West-Bob
1024	2023-11-11	Eve	West	6607.7998046875	21	Food	622.010009765625	641.090026855469	Returning	0	Bank Transfer	Retail	West-Eve
1003	2023-12-31	Alice	South	4775.58984375	30	Furniture	4190.27978515625	4270.64990234375	New	0.200000002980232	Cash	Online	South-Alice
1022	2023-08-17	Charlie	South	8813.5498046875	21	Food	2537.19995117188	2869.60009765625	New	0.28999999165535	Bank Transfer	Retail	South-Charlie
1053	2023-10-16	Bob	North	2235.830078125	48	Furniture	121.190002441406	487.649993896484	New	0.180000007152557	Cash	Retail	North-Bob
1002	2023-05-30	David	North	6810.35009765625	17	Furniture	4024.76000976563	4420.14990234375	Returning	0.0399999991059303	Cash	Online	North-David
1088	2023-10-04	Bob	East	6116.75	40	Electronics	4904.93017578125	5034.35009765625	New	0.100000001490116	Credit Card	Retail	East-Bob
1030	2023-07-17	David	West	3023.47998046875	19	Clothing	3049.330078125	3209.21997070313	Returning	0.259999990463257	Cash	Online	West-David
1038	2023-03-11	Bob	South	1452.34997558594	15	Clothing	2543.36010742188	2790.10009765625	Returning	0.0700000002980232	Cash	Online	South-Bob
1002	2023-04-22	Eve	North	6551.22998046875	9	Electronics	4398.16015625	4439.1201171875	New	0.180000007152557	Bank Transfer	Online	North-Eve
1064	2023-01-04	Eve	East	7412.10986328125	10	Electronics	4764.9599609375	5074.419921875	New	0.119999997317791	Cash	Online	East-Eve
1060	2023-12-16	Eve	East	3224.7099609375	44	Clothing	3784.9599609375	4276.990234375	New	0.0599999986588955	Bank Transfer	Retail	East-Eve
1021	2023-11-27	Alice	South	6483.83984375	31	Furniture	2254.98999023438	2441.7900390625	Returning	0.239999994635582	Bank Transfer	Online	South-Alice
1033	2023-11-14	David	South	4011.80004882813	23	Furniture	2981.5	3360.39990234375	Returning	0.219999998807907	Bank Transfer	Retail	South-David
1076	2023-12-16	Eve	East	7160.75	30	Clothing	3519.6298828125	3774.64990234375	New	0.200000002980232	Credit Card	Retail	East-Eve
1058	2023-04-05	Alice	North	2072.22998046875	33	Furniture	1011.65002441406	1084.28002929688	Returning	0.0700000002980232	Bank Transfer	Retail	North-Alice
1022	2023-06-01	David	East	8913.1298828125	9	Electronics	2263.64990234375	2558.94995117188	New	0.0299999993294477	Cash	Online	East-David
1089	2023-11-07	Bob	West	2945.36010742188	47	Furniture	4157.6201171875	4314.56005859375	New	0.170000001788139	Bank Transfer	Retail	West-Bob
1049	2023-05-17	Alice	West	3741.080078125	1	Furniture	3290.88989257813	3317.75	Returning	0.170000001788139	Bank Transfer	Online	West-Alice
1091	2023-09-04	Charlie	South	675.109985351563	44	Food	2085.4599609375	2406.580078125	Returning	0.0599999986588955	Bank Transfer	Retail	South-Charlie
